ster_idx,x,y,flux_i,flux_g,flux_r,mag_i,mag_g,mag_r
121,3235.4791962477007,3017.0755817757963,2171872.641356785,2899964.455666343,3516555.23327291,-15.842085886571876,-16.155981687158967,-16.36529360777699
122,416.13012671123533,3048.7488494886297,65571.54757770215,23137.570794838015,63432.15229819622,-12.04178858431975,-10.910794401472684,-12.005773618922944
123,2737.475452299196,3105.875596339362,42901.04503279517,28448.87205504859,55277.7427696595,-11.581169678390049,-11.13516263025662,-11.856375751495312
124,1394.0524093067193,3136.7228825941374,91755.55834277242,88897.44297074154,139139.07398568792,-12.40658095572931,-12.372223172963555,-12.858622771662096
125,2608.9187349666895,3145.586353708225,310279.48051326437,327276.05284062866,470721.68084638845,-13.729382639133448,-13.787285571628878,-14.181910504557154
126,1917.5505041309893,3176.7223596013687,55493.112343486864,63861.58738816064,81696.36250537774,-11.860597707498425,-12.01309927366041,-12.280506800480042
127,27.216075611243795,3228.9679084532404,221230.0174954827,294116.15286407433,367650.03282981645,-13.362110134205832,-13.671297191555809,-13.913586522721712
128,3521.346202745388,3235.505664481609,84533.29072319152,85192.41887194198,129928.12624627538,-12.317569438945286,-12.326002373402305,-12.784257938331665
129,1860.4448125174242,3246.6886212129652,64968.744161958864,82362.81813391857,106795.83831603499,-12.031761179965496,-12.289327995152481,-12.571385822939282
130,2175.7850626934332,3256.6975182606952,64512.41739586531,75554.60750885634,101328.056930074,-12.024108289978287,-12.195652384614707,-12.514324286717436
131,2243.3914989991517,3259.0102406216165,819710.6792599993,655698.4178007217,1167244.8014824647,-14.784151482871719,-14.541760339289649,-15.167904871012341
132,670.5018673527643,3281.564171726311,60949.58060095302,72728.38342529442,95719.45548893139,-11.962426803872116,-12.154259835927183,-12.452500548536506
133,3927.400353897243,3347.421972215802,110324.8583366804,31317.049979310483,91970.53621451044,-12.606683446152653,-11.239452113505664,-12.40912179638293
134,3620.444397940932,3386.47527090749,164194.50625125418,55629.81648321031,141178.59573109727,-13.03839655515162,-11.863269068130851,-12.87442214440085
135,3241.2609373219902,3403.7335878681934,214465.66568998364,318640.8343949658,362716.7148072566,-13.328394437165482,-13.758253576622803,-13.898918923285908
136,761.9398286489807,3513.660110450928,919266.4179629467,745637.6542975628,1314290.2948322948,-14.908603487614254,-14.681319578839378,-15.29672825232783
137,3779.603730341607,3533.033028895608,356016.56292151136,431426.4233042225,569257.6110168388,-13.878675507699674,-14.087266851358795,-14.388272114689261
138,1466.7101625371602,3566.777018454596,78196.2677627349,82666.2131495052,119401.35593671817,-12.232965062677415,-12.293320108798413,-12.692523146809398
139,2164.1098633004885,3588.68522452724,168410.02025184396,53957.24034640379,153993.46599569917,-13.065919820204478,-11.830124323729416,-12.968755734847427
140,1892.1537309217354,3613.1141376436567,103589.9484013567,100054.15753480745,155665.07994851144,-12.538294041862589,-12.500587848795167,-12.98047799759603
141,3326.2642770698303,3687.5860345718584,213476.11071429192,297558.3549287538,350714.46485245135,-13.323373204661973,-13.683930372542303,-13.862384195685022
142,336.73598712540013,3690.6394274734635,496787.2733755467,540563.9781192285,765971.5977894426,-14.240426154044654,-14.332117754973183,-14.71053166575251
143,2537.712970567275,3696.732370847531,81141.42468635982,88402.32184612611,123235.8998234286,-12.27310657201433,-12.366159179266793,-12.726843101228413
144,1427.2237886972482,3725.978932887511,60000.66145066812,65866.91502908617,87126.23352595326,-11.9453900952421,-12.046668307790833,-12.350372349636684
145,780.1837621137428,3829.0033051154583,705897.6809877071,999754.0370427337,1178414.6279603168,-14.621854387888746,-14.999732916264568,-15.178245312189578
146,3708.389059149625,3835.2278617805187,163069.91093223332,232719.12977116974,273821.03537085094,-13.030934584979478,-13.41708021060819,-13.59366702069446
147,1931.2235934910484,3855.2967577309955,986110.0914441126,727448.8182731015,1312540.3659430603,-14.984813508036751,-14.654506106778873,-15.29528167150309
148,24.7044199177845,3891.0480110830745,102512.84501281189,57376.65962925088,127018.99953277083,-12.526945716373854,-11.896838151914553,-12.759671719222327
149,93.34448283089378,3928.4607840362946,70976.47706499783,84149.10473569576,115414.6883531604,-12.127786098081144,-12.312623749668036,-12.655652708028258
150,2909.6189885553586,3958.4705308200496,86073.29331240698,64754.06026326353,115194.48586904025,-12.337171050345573,-12.028167512757577,-12.653579226928844
151,999.490172558249,4003.4868699015265,60475.90855756431,63470.68360400293,92551.80031857407,-11.953956004224837,-12.006432939650004,-12.415962177679571
152,873.7981059773851,4017.9155001032095,47778.175781891274,21073.945435848553,57395.62052635616,-11.698073909841542,-10.809364628129162,-11.897196888930516
153,2566.879147434132,4070.2242353139814,948015.7945270978,795300.086512188,1364629.0173279522,-14.942038932529819,-14.751327574237523,-15.337536504585689
